requirement_id,requirement_type,priority,requirement_status,requirement,element_type,element_id,element,owner
req-availability,availability,must,assumed,The production order submission path meets 99.9% monthly availability.,view,observability-operations,09 · Observability and operational ownership,
req-availability,availability,must,assumed,The production order submission path meets 99.9% monthly availability.,view,order-sequence,06 · Critical order sequence,
req-availability,availability,must,assumed,The production order submission path meets 99.9% monthly availability.,view,resilience-recovery,"10 · Resilience, degradation, and recovery",
req-availability,availability,must,assumed,The production order submission path meets 99.9% monthly availability.,view,system-context,01 · System context,
req-cost,cost,should,confirmed,"The workload has cost ownership, budgets, anomaly alerts, and quarterly right-sizing review.",component,azure-monitor,Telemetry platform,SRE Team
req-cost,cost,should,confirmed,"The workload has cost ownership, budgets, anomaly alerts, and quarterly right-sizing review.",control,ctl-cost-governance,FinOps guardrails,Retail Ordering Team
req-cost,cost,should,confirmed,"The workload has cost ownership, budgets, anomaly alerts, and quarterly right-sizing review.",view,aks-runtime,07 · AKS workload runtime,
req-cost,cost,should,confirmed,"The workload has cost ownership, budgets, anomaly alerts, and quarterly right-sizing review.",view,azure-deployment-network,03 · Azure deployment and network,
req-cost,cost,should,confirmed,"The workload has cost ownership, budgets, anomaly alerts, and quarterly right-sizing review.",view,delivery-gitops,08 · Delivery and GitOps controls,
req-cost,cost,should,confirmed,"The workload has cost ownership, budgets, anomaly alerts, and quarterly right-sizing review.",view,observability-operations,09 · Observability and operational ownership,
req-data,data,must,confirmed,Order and customer data remains in approved US regions with seven-year order retention and audited access.,component,azure-monitor,Telemetry platform,SRE Team
req-data,data,must,confirmed,Order and customer data remains in approved US regions with seven-year order retention and audited access.,component,order-api,Order API,Retail Ordering Team
req-data,data,must,confirmed,Order and customer data remains in approved US regions with seven-year order retention and audited access.,component,order-db,Order database,Retail Ordering Team
req-data,data,must,confirmed,Order and customer data remains in approved US regions with seven-year order retention and audited access.,component,order-platform,Order platform,Retail Ordering Team
req-data,data,must,confirmed,Order and customer data remains in approved US regions with seven-year order retention and audited access.,component,recovery-vault,Protected recovery data,SRE Team
req-data,data,must,confirmed,Order and customer data remains in approved US regions with seven-year order retention and audited access.,component,service-bus,Order event bus,Integration Platform Team
req-data,data,must,confirmed,Order and customer data remains in approved US regions with seven-year order retention and audited access.,control,ctl-backup-restore,Tested backup and restore,SRE Team
req-data,data,must,confirmed,Order and customer data remains in approved US regions with seven-year order retention and audited access.,control,ctl-private-data,Private data plane,Azure Platform Team
req-data,data,must,confirmed,Order and customer data remains in approved US regions with seven-year order retention and audited access.,relationship,rel-api-db,Commit order and outbox atomically,
req-data,data,must,confirmed,Order and customer data remains in approved US regions with seven-year order retention and audited access.,relationship,rel-api-monitor,Emit correlated service telemetry,
req-data,data,must,confirmed,Order and customer data remains in approved US regions with seven-year order retention and audited access.,relationship,rel-backup-db,Restore selected recovery point,
req-data,data,must,confirmed,Order and customer data remains in approved US regions with seven-year order retention and audited access.,relationship,rel-bus-fulfillment,Deliver OrderCreated v2,
req-data,data,must,confirmed,Order and customer data remains in approved US regions with seven-year order retention and audited access.,relationship,rel-db-backup,Protect PITR backup and recovery metadata,
req-data,data,must,confirmed,Order and customer data remains in approved US regions with seven-year order retention and audited access.,relationship,rel-db-monitor,Export database health and audit logs,
req-data,data,must,confirmed,Order and customer data remains in approved US regions with seven-year order retention and audited access.,relationship,rel-worker-bus,Publish OrderCreated v2,
req-data,data,must,confirmed,Order and customer data remains in approved US regions with seven-year order retention and audited access.,ui_binding,ui-binding-submit-order,Create order using the approved order API contract,
req-data,data,must,confirmed,Order and customer data remains in approved US regions with seven-year order retention and audited access.,ui_component,ui-component-order-summary,Order summary,
req-data,data,must,confirmed,Order and customer data remains in approved US regions with seven-year order retention and audited access.,ui_screen,ui-screen-order-entry,Review and submit order,
req-data,data,must,confirmed,Order and customer data remains in approved US regions with seven-year order retention and audited access.,view,azure-deployment-network,03 · Azure deployment and network,
req-data,data,must,confirmed,Order and customer data remains in approved US regions with seven-year order retention and audited access.,view,data-flow,05 · Data flow and classification,
req-data,data,must,confirmed,Order and customer data remains in approved US regions with seven-year order retention and audited access.,view,logical-containers,02 · Logical services and integrations,
req-data,data,must,confirmed,Order and customer data remains in approved US regions with seven-year order retention and audited access.,view,observability-operations,09 · Observability and operational ownership,
req-data,data,must,confirmed,Order and customer data remains in approved US regions with seven-year order retention and audited access.,view,resilience-recovery,"10 · Resilience, degradation, and recovery",
req-data,data,must,confirmed,Order and customer data remains in approved US regions with seven-year order retention and audited access.,view,security-trust,"04 · Security, identity, and trust boundaries",
req-data,data,must,confirmed,Order and customer data remains in approved US regions with seven-year order retention and audited access.,view,system-context,01 · System context,
req-latency,performance,must,assumed,Order submission completes within 800 ms at p95 under the approved peak load.,component,api-management,Order API gateway,API Platform Team
req-latency,performance,must,assumed,Order submission completes within 800 ms at p95 under the approved peak load.,component,azure-monitor,Telemetry platform,SRE Team
req-latency,performance,must,assumed,Order submission completes within 800 ms at p95 under the approved peak load.,component,front-door,Global edge,Azure Platform Team
req-latency,performance,must,assumed,Order submission completes within 800 ms at p95 under the approved peak load.,component,order-api,Order API,Retail Ordering Team
req-latency,performance,must,assumed,Order submission completes within 800 ms at p95 under the approved peak load.,component,order-db,Order database,Retail Ordering Team
req-latency,performance,must,assumed,Order submission completes within 800 ms at p95 under the approved peak load.,component,web-app,Retail web app,Retail Experience Team
req-latency,performance,must,assumed,Order submission completes within 800 ms at p95 under the approved peak load.,control,ctl-observability,End-to-end observability,SRE Team
req-latency,performance,must,assumed,Order submission completes within 800 ms at p95 under the approved peak load.,relationship,rel-api-db,Commit order and outbox atomically,
req-latency,performance,must,assumed,Order submission completes within 800 ms at p95 under the approved peak load.,relationship,rel-api-monitor,Emit correlated service telemetry,
req-latency,performance,must,assumed,Order submission completes within 800 ms at p95 under the approved peak load.,relationship,rel-apim-api,Authorize and invoke order API,
req-latency,performance,must,assumed,Order submission completes within 800 ms at p95 under the approved peak load.,relationship,rel-customer-platform,Place and track order,
req-latency,performance,must,assumed,Order submission completes within 800 ms at p95 under the approved peak load.,relationship,rel-customer-web,Enter order,
req-latency,performance,must,assumed,Order submission completes within 800 ms at p95 under the approved peak load.,relationship,rel-db-monitor,Export database health and audit logs,
req-latency,performance,must,assumed,Order submission completes within 800 ms at p95 under the approved peak load.,relationship,rel-frontdoor-apim,Forward approved request,
req-latency,performance,must,assumed,Order submission completes within 800 ms at p95 under the approved peak load.,relationship,rel-web-frontdoor,Create order request,
req-latency,performance,must,assumed,Order submission completes within 800 ms at p95 under the approved peak load.,ui_binding,ui-binding-submit-order,Create order using the approved order API contract,
req-latency,performance,must,assumed,Order submission completes within 800 ms at p95 under the approved peak load.,ui_flow,ui-flow-submit-order,Review and submit an order,
req-latency,performance,must,assumed,Order submission completes within 800 ms at p95 under the approved peak load.,ui_screen,ui-screen-order-entry,Review and submit order,
req-latency,performance,must,assumed,Order submission completes within 800 ms at p95 under the approved peak load.,view,aks-runtime,07 · AKS workload runtime,
req-latency,performance,must,assumed,Order submission completes within 800 ms at p95 under the approved peak load.,view,azure-deployment-network,03 · Azure deployment and network,
req-latency,performance,must,assumed,Order submission completes within 800 ms at p95 under the approved peak load.,view,logical-containers,02 · Logical services and integrations,
req-latency,performance,must,assumed,Order submission completes within 800 ms at p95 under the approved peak load.,view,observability-operations,09 · Observability and operational ownership,
req-latency,performance,must,assumed,Order submission completes within 800 ms at p95 under the approved peak load.,view,order-sequence,06 · Critical order sequence,
req-operations,operations,must,confirmed,"The service has reproducible delivery, end-to-end telemetry, actionable alerts, runbooks, and tested rollback and restore.",component,azure-monitor,Telemetry platform,SRE Team
req-operations,operations,must,confirmed,"The service has reproducible delivery, end-to-end telemetry, actionable alerts, runbooks, and tested rollback and restore.",component,build-pipeline,Build and security pipeline,DevSecOps Team
req-operations,operations,must,confirmed,"The service has reproducible delivery, end-to-end telemetry, actionable alerts, runbooks, and tested rollback and restore.",component,container-registry,Signed image registry,DevSecOps Team
req-operations,operations,must,confirmed,"The service has reproducible delivery, end-to-end telemetry, actionable alerts, runbooks, and tested rollback and restore.",component,flux-gitops,GitOps reconciler,Azure Platform Team
req-operations,operations,must,confirmed,"The service has reproducible delivery, end-to-end telemetry, actionable alerts, runbooks, and tested rollback and restore.",component,git-repository,Application and IaC repositories,DevSecOps Team
req-operations,operations,must,confirmed,"The service has reproducible delivery, end-to-end telemetry, actionable alerts, runbooks, and tested rollback and restore.",component,key-vault,Secrets and certificates,Security Platform Team
req-operations,operations,must,confirmed,"The service has reproducible delivery, end-to-end telemetry, actionable alerts, runbooks, and tested rollback and restore.",component,oncall-team,SRE on-call,SRE Team
req-operations,operations,must,confirmed,"The service has reproducible delivery, end-to-end telemetry, actionable alerts, runbooks, and tested rollback and restore.",component,order-api,Order API,Retail Ordering Team
req-operations,operations,must,confirmed,"The service has reproducible delivery, end-to-end telemetry, actionable alerts, runbooks, and tested rollback and restore.",component,order-platform,Order platform,Retail Ordering Team
req-operations,operations,must,confirmed,"The service has reproducible delivery, end-to-end telemetry, actionable alerts, runbooks, and tested rollback and restore.",component,outbox-worker,Outbox publisher,Retail Ordering Team
req-operations,operations,must,confirmed,"The service has reproducible delivery, end-to-end telemetry, actionable alerts, runbooks, and tested rollback and restore.",component,recovery-vault,Protected recovery data,SRE Team
req-operations,operations,must,confirmed,"The service has reproducible delivery, end-to-end telemetry, actionable alerts, runbooks, and tested rollback and restore.",component,service-bus,Order event bus,Integration Platform Team
req-operations,operations,must,confirmed,"The service has reproducible delivery, end-to-end telemetry, actionable alerts, runbooks, and tested rollback and restore.",component,service-bus-dlq,Order event DLQ,Integration Platform Team
req-operations,operations,must,confirmed,"The service has reproducible delivery, end-to-end telemetry, actionable alerts, runbooks, and tested rollback and restore.",control,ctl-backup-restore,Tested backup and restore,SRE Team
req-operations,operations,must,confirmed,"The service has reproducible delivery, end-to-end telemetry, actionable alerts, runbooks, and tested rollback and restore.",control,ctl-k8s-baseline,Restricted AKS workload baseline,Azure Platform Team
req-operations,operations,must,confirmed,"The service has reproducible delivery, end-to-end telemetry, actionable alerts, runbooks, and tested rollback and restore.",control,ctl-observability,End-to-end observability,SRE Team
req-operations,operations,must,confirmed,"The service has reproducible delivery, end-to-end telemetry, actionable alerts, runbooks, and tested rollback and restore.",control,ctl-supply-chain,Software supply-chain integrity,DevSecOps Team
req-operations,operations,must,confirmed,"The service has reproducible delivery, end-to-end telemetry, actionable alerts, runbooks, and tested rollback and restore.",relationship,rel-api-keyvault,Read versioned configuration secret,
req-operations,operations,must,confirmed,"The service has reproducible delivery, end-to-end telemetry, actionable alerts, runbooks, and tested rollback and restore.",relationship,rel-api-monitor,Emit correlated service telemetry,
req-operations,operations,must,confirmed,"The service has reproducible delivery, end-to-end telemetry, actionable alerts, runbooks, and tested rollback and restore.",relationship,rel-backup-db,Restore selected recovery point,
req-operations,operations,must,confirmed,"The service has reproducible delivery, end-to-end telemetry, actionable alerts, runbooks, and tested rollback and restore.",relationship,rel-bus-dlq,Dead-letter exhausted delivery,
req-operations,operations,must,confirmed,"The service has reproducible delivery, end-to-end telemetry, actionable alerts, runbooks, and tested rollback and restore.",relationship,rel-bus-fulfillment,Deliver OrderCreated v2,
req-operations,operations,must,confirmed,"The service has reproducible delivery, end-to-end telemetry, actionable alerts, runbooks, and tested rollback and restore.",relationship,rel-bus-monitor,Export queue and DLQ metrics,
req-operations,operations,must,confirmed,"The service has reproducible delivery, end-to-end telemetry, actionable alerts, runbooks, and tested rollback and restore.",relationship,rel-db-backup,Protect PITR backup and recovery metadata,
req-operations,operations,must,confirmed,"The service has reproducible delivery, end-to-end telemetry, actionable alerts, runbooks, and tested rollback and restore.",relationship,rel-db-monitor,Export database health and audit logs,
req-operations,operations,must,confirmed,"The service has reproducible delivery, end-to-end telemetry, actionable alerts, runbooks, and tested rollback and restore.",relationship,rel-flux-api,Apply health-gated deployment,
req-operations,operations,must,confirmed,"The service has reproducible delivery, end-to-end telemetry, actionable alerts, runbooks, and tested rollback and restore.",relationship,rel-git-flux,Reconcile approved environment commit,
req-operations,operations,must,confirmed,"The service has reproducible delivery, end-to-end telemetry, actionable alerts, runbooks, and tested rollback and restore.",relationship,rel-git-pipeline,Trigger reviewed build,
req-operations,operations,must,confirmed,"The service has reproducible delivery, end-to-end telemetry, actionable alerts, runbooks, and tested rollback and restore.",relationship,rel-monitor-oncall,Route actionable SLO alert,
req-operations,operations,must,confirmed,"The service has reproducible delivery, end-to-end telemetry, actionable alerts, runbooks, and tested rollback and restore.",relationship,rel-pipeline-registry,Push scanned and signed image,
req-operations,operations,must,confirmed,"The service has reproducible delivery, end-to-end telemetry, actionable alerts, runbooks, and tested rollback and restore.",relationship,rel-registry-flux,Verify signed image digest,
req-operations,operations,must,confirmed,"The service has reproducible delivery, end-to-end telemetry, actionable alerts, runbooks, and tested rollback and restore.",relationship,rel-worker-bus,Publish OrderCreated v2,
req-operations,operations,must,confirmed,"The service has reproducible delivery, end-to-end telemetry, actionable alerts, runbooks, and tested rollback and restore.",relationship,rel-worker-db,Claim unpublished outbox rows,
req-operations,operations,must,confirmed,"The service has reproducible delivery, end-to-end telemetry, actionable alerts, runbooks, and tested rollback and restore.",relationship,rel-worker-monitor,Emit backlog and publish telemetry,
req-operations,operations,must,confirmed,"The service has reproducible delivery, end-to-end telemetry, actionable alerts, runbooks, and tested rollback and restore.",view,aks-runtime,07 · AKS workload runtime,
req-operations,operations,must,confirmed,"The service has reproducible delivery, end-to-end telemetry, actionable alerts, runbooks, and tested rollback and restore.",view,azure-deployment-network,03 · Azure deployment and network,
req-operations,operations,must,confirmed,"The service has reproducible delivery, end-to-end telemetry, actionable alerts, runbooks, and tested rollback and restore.",view,data-flow,05 · Data flow and classification,
req-operations,operations,must,confirmed,"The service has reproducible delivery, end-to-end telemetry, actionable alerts, runbooks, and tested rollback and restore.",view,delivery-gitops,08 · Delivery and GitOps controls,
req-operations,operations,must,confirmed,"The service has reproducible delivery, end-to-end telemetry, actionable alerts, runbooks, and tested rollback and restore.",view,observability-operations,09 · Observability and operational ownership,
req-operations,operations,must,confirmed,"The service has reproducible delivery, end-to-end telemetry, actionable alerts, runbooks, and tested rollback and restore.",view,order-sequence,06 · Critical order sequence,
req-operations,operations,must,confirmed,"The service has reproducible delivery, end-to-end telemetry, actionable alerts, runbooks, and tested rollback and restore.",view,resilience-recovery,"10 · Resilience, degradation, and recovery",
req-operations,operations,must,confirmed,"The service has reproducible delivery, end-to-end telemetry, actionable alerts, runbooks, and tested rollback and restore.",view,security-trust,"04 · Security, identity, and trust boundaries",
req-operations,operations,must,confirmed,"The service has reproducible delivery, end-to-end telemetry, actionable alerts, runbooks, and tested rollback and restore.",view,system-context,01 · System context,
req-order-submit,functional,must,confirmed,Customers and approved partners can submit an order exactly once from the caller perspective.,component,api-management,Order API gateway,API Platform Team
req-order-submit,functional,must,confirmed,Customers and approved partners can submit an order exactly once from the caller perspective.,component,customer,Customer,Retail Product Owner
req-order-submit,functional,must,confirmed,Customers and approved partners can submit an order exactly once from the caller perspective.,component,fulfillment-system,Fulfillment system,Fulfillment Team
req-order-submit,functional,must,confirmed,Customers and approved partners can submit an order exactly once from the caller perspective.,component,order-api,Order API,Retail Ordering Team
req-order-submit,functional,must,confirmed,Customers and approved partners can submit an order exactly once from the caller perspective.,component,order-db,Order database,Retail Ordering Team
req-order-submit,functional,must,confirmed,Customers and approved partners can submit an order exactly once from the caller perspective.,component,order-platform,Order platform,Retail Ordering Team
req-order-submit,functional,must,confirmed,Customers and approved partners can submit an order exactly once from the caller perspective.,component,outbox-worker,Outbox publisher,Retail Ordering Team
req-order-submit,functional,must,confirmed,Customers and approved partners can submit an order exactly once from the caller perspective.,component,partner-system,Approved partner,Partner Integration Team
req-order-submit,functional,must,confirmed,Customers and approved partners can submit an order exactly once from the caller perspective.,component,service-bus,Order event bus,Integration Platform Team
req-order-submit,functional,must,confirmed,Customers and approved partners can submit an order exactly once from the caller perspective.,component,service-bus-dlq,Order event DLQ,Integration Platform Team
req-order-submit,functional,must,confirmed,Customers and approved partners can submit an order exactly once from the caller perspective.,component,web-app,Retail web app,Retail Experience Team
req-order-submit,functional,must,confirmed,Customers and approved partners can submit an order exactly once from the caller perspective.,control,ctl-atomic-outbox,Atomic outbox,Retail Ordering Team
req-order-submit,functional,must,confirmed,Customers and approved partners can submit an order exactly once from the caller perspective.,relationship,rel-api-db,Commit order and outbox atomically,
req-order-submit,functional,must,confirmed,Customers and approved partners can submit an order exactly once from the caller perspective.,relationship,rel-apim-api,Authorize and invoke order API,
req-order-submit,functional,must,confirmed,Customers and approved partners can submit an order exactly once from the caller perspective.,relationship,rel-bus-dlq,Dead-letter exhausted delivery,
req-order-submit,functional,must,confirmed,Customers and approved partners can submit an order exactly once from the caller perspective.,relationship,rel-bus-fulfillment,Deliver OrderCreated v2,
req-order-submit,functional,must,confirmed,Customers and approved partners can submit an order exactly once from the caller perspective.,relationship,rel-customer-platform,Place and track order,
req-order-submit,functional,must,confirmed,Customers and approved partners can submit an order exactly once from the caller perspective.,relationship,rel-customer-web,Enter order,
req-order-submit,functional,must,confirmed,Customers and approved partners can submit an order exactly once from the caller perspective.,relationship,rel-frontdoor-apim,Forward approved request,
req-order-submit,functional,must,confirmed,Customers and approved partners can submit an order exactly once from the caller perspective.,relationship,rel-partner-frontdoor,Partner create order,
req-order-submit,functional,must,confirmed,Customers and approved partners can submit an order exactly once from the caller perspective.,relationship,rel-partner-platform,Submit contracted order API,
req-order-submit,functional,must,confirmed,Customers and approved partners can submit an order exactly once from the caller perspective.,relationship,rel-web-frontdoor,Create order request,
req-order-submit,functional,must,confirmed,Customers and approved partners can submit an order exactly once from the caller perspective.,relationship,rel-worker-bus,Publish OrderCreated v2,
req-order-submit,functional,must,confirmed,Customers and approved partners can submit an order exactly once from the caller perspective.,relationship,rel-worker-db,Claim unpublished outbox rows,
req-order-submit,functional,must,confirmed,Customers and approved partners can submit an order exactly once from the caller perspective.,ui_binding,ui-binding-submit-order,Create order using the approved order API contract,
req-order-submit,functional,must,confirmed,Customers and approved partners can submit an order exactly once from the caller perspective.,ui_component,ui-component-order-form,Order review form,
req-order-submit,functional,must,confirmed,Customers and approved partners can submit an order exactly once from the caller perspective.,ui_component,ui-component-order-summary,Order summary,
req-order-submit,functional,must,confirmed,Customers and approved partners can submit an order exactly once from the caller perspective.,ui_component,ui-component-status-panel,Order status panel,
req-order-submit,functional,must,confirmed,Customers and approved partners can submit an order exactly once from the caller perspective.,ui_flow,ui-flow-submit-order,Review and submit an order,
req-order-submit,functional,must,confirmed,Customers and approved partners can submit an order exactly once from the caller perspective.,ui_navigation,ui-navigation-order-entry,Open a saved checkout deep link or return from the order list,
req-order-submit,functional,must,confirmed,Customers and approved partners can submit an order exactly once from the caller perspective.,ui_screen,ui-screen-order-entry,Review and submit order,
req-order-submit,functional,must,confirmed,Customers and approved partners can submit an order exactly once from the caller perspective.,view,data-flow,05 · Data flow and classification,
req-order-submit,functional,must,confirmed,Customers and approved partners can submit an order exactly once from the caller perspective.,view,logical-containers,02 · Logical services and integrations,
req-order-submit,functional,must,confirmed,Customers and approved partners can submit an order exactly once from the caller perspective.,view,order-sequence,06 · Critical order sequence,
req-order-submit,functional,must,confirmed,Customers and approved partners can submit an order exactly once from the caller perspective.,view,resilience-recovery,"10 · Resilience, degradation, and recovery",
req-order-submit,functional,must,confirmed,Customers and approved partners can submit an order exactly once from the caller perspective.,view,system-context,01 · System context,
req-order-submit,functional,must,confirmed,Customers and approved partners can submit an order exactly once from the caller perspective.,view,ui-customer-order-flow,Customer order submission user flow,
req-order-submit,functional,must,confirmed,Customers and approved partners can submit an order exactly once from the caller perspective.,view,ui-order-entry-compact-view,Order entry · compact responsive wireframe,
req-order-submit,functional,must,confirmed,Customers and approved partners can submit an order exactly once from the caller perspective.,view,ui-order-entry-state-map,Order entry screen-state contract,
req-order-submit,functional,must,confirmed,Customers and approved partners can submit an order exactly once from the caller perspective.,view,ui-order-entry-wide-view,Order entry · wide responsive wireframe,
req-recovery,availability,must,assumed,Order data recovery meets RPO 15 minutes and RTO 60 minutes.,component,order-db,Order database,Retail Ordering Team
req-recovery,availability,must,assumed,Order data recovery meets RPO 15 minutes and RTO 60 minutes.,component,recovery-vault,Protected recovery data,SRE Team
req-recovery,availability,must,assumed,Order data recovery meets RPO 15 minutes and RTO 60 minutes.,control,ctl-backup-restore,Tested backup and restore,SRE Team
req-recovery,availability,must,assumed,Order data recovery meets RPO 15 minutes and RTO 60 minutes.,relationship,rel-backup-db,Restore selected recovery point,
req-recovery,availability,must,assumed,Order data recovery meets RPO 15 minutes and RTO 60 minutes.,relationship,rel-db-backup,Protect PITR backup and recovery metadata,
req-recovery,availability,must,assumed,Order data recovery meets RPO 15 minutes and RTO 60 minutes.,view,azure-deployment-network,03 · Azure deployment and network,
req-recovery,availability,must,assumed,Order data recovery meets RPO 15 minutes and RTO 60 minutes.,view,data-flow,05 · Data flow and classification,
req-recovery,availability,must,assumed,Order data recovery meets RPO 15 minutes and RTO 60 minutes.,view,resilience-recovery,"10 · Resilience, degradation, and recovery",
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",component,api-management,Order API gateway,API Platform Team
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",component,azure-monitor,Telemetry platform,SRE Team
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",component,build-pipeline,Build and security pipeline,DevSecOps Team
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",component,container-registry,Signed image registry,DevSecOps Team
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",component,entra-id,Identity provider,Identity Platform Team
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",component,flux-gitops,GitOps reconciler,Azure Platform Team
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",component,front-door,Global edge,Azure Platform Team
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",component,git-repository,Application and IaC repositories,DevSecOps Team
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",component,key-vault,Secrets and certificates,Security Platform Team
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",component,order-api,Order API,Retail Ordering Team
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",component,order-db,Order database,Retail Ordering Team
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",component,order-platform,Order platform,Retail Ordering Team
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",component,partner-system,Approved partner,Partner Integration Team
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",component,service-bus,Order event bus,Integration Platform Team
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",control,ctl-edge-protection,Edge protection,Azure Platform Team
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",control,ctl-k8s-baseline,Restricted AKS workload baseline,Azure Platform Team
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",control,ctl-private-data,Private data plane,Azure Platform Team
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",control,ctl-supply-chain,Software supply-chain integrity,DevSecOps Team
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",control,ctl-workload-identity,Workload identity and secrets,Security Architecture
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",relationship,rel-api-db,Commit order and outbox atomically,
req-security,security,must,confirmed,"All public and workload access is authenticated, least privilege, encrypted, logged, and protected from common web abuse.",relationship,rel-api-entra,Acquire workload token,
